한국어 용어,영어 (English),일본어 (Japanese),중국어 번체 (Chinese),EN 검색키워드 (선택),JP 検索キーワード (선택),TW 搜尋關鍵字 (선택)
세예핏-S,SeyeFit-S,セイェフィット-S,世顏身體溶脂注射,,,
세예핏-V,SeyeFit-V,セイェフィット-V,世顏面部溶脂注射,,,
브이올렛,V-Olet,バイオレット,V-Olet,,,
영양수액,Nutrient IV,栄養点滴,營養點滴,,,
백옥주사,Glutathione Injection,白玉注射,白玉點滴,,,
신데렐라주사,Cinderella Injection,シンデレラ注射,灰姑娘注射,,,
태반주사,Placenta Injection,胎盤注射,胎盤注射,,,
마늘주사,Garlic Injection,ニンニク注射,大蒜注射,,,
아르기닌주사,Arginine Injection,アルギニン注射,精氨酸注射,,,
면역력주사,Immunity Injection,免疫力注射,免疫力注射,,,
비타민D,Vitamin D,ビタミンD,維他命D,,,
감초주사,Licorice Injection,甘草注射,甘草注射,,,
다이어트 수액,Diet IV,ダイエット点滴,減肥點滴,,,
염증주사,Inflammation Injection,炎症注射,消炎針,,,
위고비,Wegovy,ウィゴビー,Wegovy,,,
마운자로,Mounjaro,マンジャロ,Mounjaro,,,
민트실,Mint Thread,ミント糸,薄荷線,,,
아이쓰레드,i-Thread,アイスレッド,i-Thread,,,
압토스,Aptos,アプトス,Aptos,,,
실루엣 소프트,Silhouette Soft,シルエットソフト,鈴鐺線,,,
잼버실,Jamber Thread,ジェンバー糸,Jamber線,,,
모노실,Mono Thread,モノ糸,Mono線,,,
제로이드 수딩크림,Zeroid Soothing Cream,ゼロイドスージングクリーム,ZEROID舒緩霜,,,
스킨케어,Skin Care,スキンケア,皮膚護理套,,,
필,Peel,ピーリング,煥膚護理套餐,,,
오마카세,Omakase,お任せ,隨心所欲,,,
물톡스,Water Tox,ウォータートックス,藝人水光煥膚,,,
밀크필,Milk Peel,ミルクピール,奶滑煥膚,,,
블랙필,Black Peel,ブラックピール,黑米醋煥膚,,,
스킨스케일링,Skin Scaling,スキンスケーリング,基礎清潔管理,,,
압출,Extraction,圧出,粉刺清理,,,
문신제거,Tattoo Removal,タトゥー除去,祛紋身,,,
점 제거,Mole Removal,ホクロ除去,點痣,,,
비립종 제거,Milium Removal,稗粒腫除去,祛脂肪粒,,,
편평사마귀 제거,Flat Wart Removal,扁平イボ除去,祛扁平疣,,,
얼굴전체,Full Face,全顔,全臉,,,
중안부,Mid-face,中顔面,面中部,,,
하관,Lower Face,下顔面,下半臉,,,
이마,Forehead,額,額頭,,,
미간,Glabella,眉間,眉間,,,
눈가,Crow's feet,目元,眼周,,,
눈밑,Under Eye,目の下,眼底,,,
눈썹위,Above Eyebrow,眉の上,眉上,,,
콧등,Nose Bridge,鼻筋,鼻梁,,,
인중,Philtrum,人中,人中,,,
입꼬리,Mouth Corner,口角,嘴角,,,
자갈턱,Pebble Chin,梅干し顎,下巴核桃紋,,,
턱라인,Jawline,顎ライン,下顎線,,,
심부볼,Jowls,バッカルファット,口膠囊袋,,,
이중턱,Double Chin,二重顎,雙下巴,,,
앞광대,Front Cheek,前頬,蘋果肌,,,
옆볼,Side Cheek,横頬,臉頰,,,
관자놀이,Temple,こめかみ,太陽穴,,,
팔자주름,Nasolabial Folds,ほうれい線,法令紋,,,
마리오넷주름,Marionette Lines,マリオネットライン,木偶紋,,,
목주름,Neck Wrinkles,首のシワ,頸紋,,,
승모근,Trapezius,僧帽筋,斜方肌,,,
겨드랑이,Armpit,脇,腋下,,,
팔뚝,Upper Arm,二の腕,手臂,,,
팔상완,Upper Arm,上腕,大臂,,,
팔하완,Lower Arm,前腕,小臂,,,
팔 전체,Full Arm,腕全体,手臂整體,,,
쇄골라인,Clavicle Line,鎖骨ライン,鎖骨線,,,
등,Back,背中,背部,,,
복부,Abdomen,腹部,腹部,,,
하복부,Lower Abdomen,下腹部,下腹部,,,
옆구리,Flank,わき腹,側腰,,,
러브핸들,Love Handle,腰回りの脂肪,腰側脂肪,,,
엉덩이 밑,Under Buttock,お尻の下,臀部下方,,,
골반,Pelvis,骨盤,骨盆,,,
힙딥,Hip Dip,ヒップディップ,臀部凹陷,,,
허벅지,Thigh,太もも,大腿,,,
무릎,Knee,膝,膝蓋,,,
종아리,Calf,ふくらはぎ,小腿,,,
발목,Ankle,足首,腳踝,,,
다리전체,Full Leg,足全体,腿部整體,,,
비키니라인,Bikini Line,ビキニライン,比基尼線,,,
브라질리언,Brazilian,VIO,巴西式,,,
항문,Anus,肛門,肛門,,,
회음부,Perineum,会陰部,會陰部,,,
병,vial,本,vial,,,
vial,vial,本,vial,,,
두존크,K-Viral,ドバイもちクッキー小顔,K-糯唧唧,,,
스킨타이트,SkinTight,スキンタイト,SkinTight,,,
